[RESULT]
회차,상 승,상 승,상 승,상 승,하 강,하 강,하 강,하 강,     
회차,Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),결 과
1,0.956,2.521,0.912,6.535,-0.039,2.381,-0.095,2.188,OK

[TQ_DATA]
No,L-UP,R-UP,L-DN,R-DN
1,0.15625,0.0390625,0.029296875,0
2,-0.01953125,0,-0.029296875,-0.01953125
3,0.01953125,-0.0390625,0.087890625,0.029296875
4,0.029296875,-0.0390625,-0.009765625,-0.0390625
5,0.048828125,-0.01953125,0.029296875,-0.126953125
6,0.0390625,-0.078125,0.048828125,-0.029296875
7,0.05859375,-0.048828125,-0.087890625,-0.01953125
8,0.126953125,-0.068359375,0.009765625,-0.146484375
9,0.107421875,-0.068359375,0.029296875,-0.05859375
10,0.068359375,-0.078125,-0.15625,0.029296875
11,0.087890625,-0.029296875,-0.048828125,0.126953125
12,0.068359375,-0.068359375,0,-0.009765625
13,0.068359375,-0.05859375,0.01953125,0.048828125
14,0.009765625,-0.0390625,0,0.15625
15,0.068359375,-0.05859375,-0.09765625,-0.048828125
16,0.029296875,-0.0390625,0.048828125,-0.009765625
17,0.0390625,-0.1171875,-0.048828125,0.048828125
18,0.068359375,-0.048828125,-0.0390625,0.009765625
19,0.029296875,-0.0390625,0.05859375,-0.0390625
20,-0.0390625,-0.0390625,0.068359375,-0.1953125
21,0.048828125,-0.05859375,0.009765625,-0.029296875
22,-0.01953125,0.009765625,-0.009765625,0.009765625
23,0.0390625,-0.048828125,-0.009765625,-0.1171875
24,-0.009765625,-0.029296875,-0.107421875,0
25,0.05859375,0.068359375,0.01953125,0
26,0.05859375,-0.078125,-0.05859375,0.068359375
27,0.029296875,-0.05859375,-0.068359375,-0.01953125
28,0.01953125,0.078125,-0.048828125,-0.009765625
29,0.078125,-0.068359375,-0.0390625,0.087890625
30,0.009765625,-0.09765625,-0.068359375,-0.05859375
31,0.0390625,-0.01953125,-0.05859375,-0.009765625
32,0.1171875,-0.087890625,-0.01953125,0.05859375
33,0.09765625,-0.0390625,-0.048828125,0.009765625
34,0.0390625,-0.17578125,0.01953125,0
35,0.068359375,-0.107421875,0.078125,-0.05859375
36,0.087890625,-0.068359375,0.009765625,0.09765625
37,0.05859375,-0.126953125,0.078125,-0.009765625
38,0.0390625,-0.13671875,-0.009765625,-0.05859375
39,0.048828125,-0.126953125,-0.01953125,0.048828125
40,0.029296875,-0.05859375,-0.087890625,0.029296875
41,0.029296875,-0.01953125,-0.048828125,0.068359375
42,-0.087890625,0.078125,0.0390625,0.05859375
43,0.05859375,-0.078125,0.068359375,-0.009765625
44,0.126953125,-0.05859375,0.029296875,-0.009765625
45,-0.15625,-0.029296875,-0.078125,-0.0390625
46,0,-0.126953125,-0.0390625,0.09765625
47,0.05859375,-0.05859375,-0.048828125,-0.068359375
48,0.17578125,-0.0390625,-0.05859375,-0.05859375
49,0.05859375,-0.068359375,-0.01953125,0.048828125
50,0.068359375,0,-0.009765625,0.029296875
51,0.15625,-0.05859375,-0.087890625,0.224609375
52,0.078125,-0.048828125,-0.029296875,0
53,0.068359375,-0.068359375,-0.107421875,0.01953125
54,0.078125,-0.087890625,-0.029296875,0.17578125
55,0.078125,-0.1171875,-0.107421875,-0.01953125
56,0,-0.0390625,-0.146484375,-0.048828125
57,0.029296875,-0.048828125,-0.068359375,0.21484375
58,0.05859375,-0.107421875,-0.1171875,0.048828125
59,-0.009765625,-0.009765625,0.21484375,-0.01953125
60,0.05859375,-0.029296875,0.01953125,-0.322265625
61,0.087890625,-0.126953125,-0.029296875,-0.009765625
62,0.05859375,-0.13671875,0.205078125,0
63,0.087890625,-0.009765625,0.009765625,-0.33203125
64,0.05859375,-0.009765625,-0.009765625,0.009765625
65,0.09765625,0.01953125,0.13671875,-0.009765625
66,-0.048828125,-0.048828125,0,0.283203125
67,0.009765625,0,-0.009765625,0.009765625
68,0.05859375,-0.048828125,-0.068359375,0.029296875
69,-0.048828125,-0.05859375,-0.029296875,0.2734375
70,0.0390625,-0.078125,-0.029296875,0.029296875
71,0.0390625,0.009765625,-0.146484375,0.048828125
72,0.1171875,-0.0390625,-0.048828125,0.25390625
73,0.087890625,-0.078125,0.01953125,-0.09765625
74,0.048828125,0.009765625,0.1953125,-0.029296875
75,0.078125,-0.126953125,-0.01953125,-0.107421875
76,0,-0.078125,0.087890625,-0.029296875
77,0.029296875,0.0390625,0.1953125,0.048828125
78,0.029296875,-0.05859375,0.009765625,-0.17578125
79,0.087890625,0.009765625,-0.01953125,-0.107421875
80,0.01953125,-0.068359375,0.1171875,-0.068359375
81,-0.009765625,-0.0390625,-0.029296875,0.087890625
82,0.0390625,-0.068359375,-0.009765625,0.009765625
83,0.068359375,-0.029296875,-0.078125,-0.048828125
84,0.068359375,-0.068359375,-0.009765625,0.0390625
85,0.05859375,-0.029296875,0.009765625,0.029296875
86,0.13671875,-0.01953125,-0.15625,-0.048828125
87,0.05859375,-0.01953125,0,0.068359375
88,0.068359375,-0.078125,-0.0390625,-0.029296875
89,0.0390625,-0.078125,0.078125,0
90,0.068359375,-0.01953125,0.01953125,-0.029296875
91,0.029296875,-0.09765625,-0.0390625,-0.01953125
92,0.048828125,-0.05859375,0.05859375,-0.087890625
93,0.09765625,-0.01953125,0,-0.01953125
94,0.146484375,-0.029296875,-0.009765625,0
95,0.0390625,-0.13671875,-0.0390625,0
96,0.09765625,-0.05859375,-0.01953125,-0.01953125
97,-0.107421875,-0.05859375,-0.078125,-0.01953125
98,0.068359375,-0.107421875,-0.029296875,-0.009765625
99,0.05859375,-0.0390625,-0.1953125,-0.029296875
100,-0.009765625,0,0.01953125,0
101,-0.01953125,-0.126953125,-0.0390625,-0.029296875
102,0.078125,0.0390625,-0.068359375,-0.01953125
103,0.166015625,-0.0390625,0.01953125,-0.029296875
104,0.05859375,-0.029296875,0,-0.009765625
105,0.009765625,-0.05859375,-0.21484375,-0.0390625
106,0,-0.048828125,-0.01953125,-0.25390625
107,0.048828125,-0.15625,-0.009765625,-0.048828125
108,0.068359375,-0.1171875,0.17578125,-0.009765625
109,0.009765625,0,-0.029296875,-0.21484375
110,0.0390625,0.009765625,0.029296875,0.029296875
111,0.05859375,-0.078125,0.126953125,0.0390625
112,0.01953125,-0.068359375,-0.05859375,-0.13671875
113,0.068359375,-0.0390625,-0.0390625,-0.029296875
114,0.068359375,-0.1171875,-0.09765625,-0.029296875
115,0.009765625,-0.048828125,0,0.205078125
116,0.1171875,0.146484375,-0.048828125,-0.048828125
117,0.029296875,-0.048828125,-0.009765625,0.05859375
118,0.068359375,0,-0.048828125,0.126953125
119,0.029296875,-0.078125,0.068359375,-0.01953125
120,0.009765625,-0.01953125,-0.0390625,-0.009765625
121,0.048828125,-0.068359375,-0.009765625,-0.400390625
122,0.01953125,-0.087890625,0.048828125,-0.01953125
123,0.0390625,-0.029296875,0.126953125,-0.068359375
124,0.107421875,-0.048828125,0.01953125,-0.48828125
125,0.029296875,-0.0390625,0.1171875,-0.087890625
126,0.029296875,-0.048828125,0.068359375,0.029296875
127,0.078125,-0.078125,-0.029296875,-0.458984375
128,0.09765625,0.009765625,-0.068359375,-0.01953125
129,0.05859375,-0.048828125,-0.126953125,0.05859375
130,0.068359375,-0.01953125,0.009765625,0.390625
131,0.05859375,-0.009765625,0.05859375,0
132,0.078125,-0.029296875,-0.234375,0.029296875
133,0.048828125,-0.01953125,0.029296875,0.283203125
134,0.107421875,-0.09765625,-0.01953125,0.01953125
135,0.087890625,-0.0390625,-0.224609375,-0.0390625
136,0.068359375,-0.078125,-0.029296875,-0.263671875
137,0.1171875,-0.185546875,-0.01953125,0
138,0.09765625,-0.078125,0.126953125,0.048828125
139,0.01953125,-0.048828125,-0.087890625,-0.25390625
140,0.0390625,0,0.009765625,0
141,0.126953125,-0.029296875,0.15625,0
142,0.009765625,0.01953125,0,-0.1953125
143,0.087890625,0.01953125,-0.009765625,-0.01953125
144,0.048828125,-0.05859375,-0.1171875,0
145,0.009765625,-0.078125,0.068359375,0.185546875
