[RESULT]
회차,상 승,상 승,상 승,상 승,하 강,하 강,하 강,하 강,     
회차,Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),결 과
1,1.191,2.853,0.898,3.424,-0.064,2.907,-0.097,2.128,OK

[TQ_DATA]
No,L-UP,R-UP,L-DN,R-DN
1,-0.029296875,0.05859375,0.01953125,-0.0390625
2,0.13671875,-0.0390625,0,-0.068359375
3,-0.263671875,-0.048828125,-0.048828125,-0.0390625
4,0.048828125,-0.1953125,-0.078125,-0.048828125
5,0.09765625,0.009765625,0.048828125,-0.09765625
6,0.068359375,-0.17578125,-0.009765625,-0.009765625
7,-0.009765625,-0.15625,-0.05859375,-0.009765625
8,0.068359375,-0.078125,-0.029296875,-0.068359375
9,0.078125,0.0390625,0.009765625,-0.009765625
10,0.078125,-0.09765625,-0.01953125,-0.009765625
11,0,-0.1171875,-0.01953125,-0.05859375
12,0.078125,0.01953125,0.009765625,0.009765625
13,0.0390625,-0.009765625,0.029296875,-0.09765625
14,-0.048828125,-0.078125,-0.0390625,-0.17578125
15,0.048828125,0.107421875,0.09765625,-0.0390625
16,-0.009765625,-0.09765625,-0.068359375,-0.029296875
17,0.01953125,-0.029296875,-0.029296875,-0.126953125
18,0.048828125,-0.048828125,0.01953125,-0.078125
19,0.0390625,-0.068359375,0.15625,-0.17578125
20,-0.05859375,-0.048828125,-0.01953125,-0.185546875
21,-0.05859375,-0.01953125,-0.068359375,-0.068359375
22,0.009765625,-0.01953125,-0.09765625,-0.439453125
23,0,0.009765625,0.009765625,0.078125
24,0,-0.09765625,-0.0390625,-0.078125
25,0.029296875,-0.009765625,-0.09765625,-0.419921875
26,0.1171875,-0.05859375,-0.01953125,0.09765625
27,0.09765625,-0.068359375,-0.166015625,-0.087890625
28,-0.01953125,-0.048828125,-0.09765625,0.205078125
29,0.009765625,0.01953125,-0.087890625,-0.185546875
30,0.05859375,-0.13671875,-0.107421875,-0.048828125
31,0.01953125,-0.068359375,0.01953125,0.1953125
32,0,-0.009765625,0.009765625,-0.25390625
33,0.0390625,-0.01953125,-0.263671875,0.009765625
34,0.0390625,-0.029296875,0.15625,-0.205078125
35,0.01953125,-0.0390625,-0.078125,-0.234375
36,-0.029296875,0.009765625,0.15625,-0.048828125
37,0.01953125,-0.029296875,-0.126953125,-0.166015625
38,-0.01953125,0,-0.009765625,0.0390625
39,-0.009765625,-0.01953125,-0.009765625,-0.068359375
40,-0.009765625,0.01953125,-0.107421875,-0.166015625
41,0.009765625,-0.048828125,0.048828125,0.078125
42,-0.029296875,0.01953125,-0.029296875,-0.087890625
43,0.01953125,0.009765625,-0.1171875,-0.01953125
44,0.048828125,-0.068359375,-0.01953125,-0.09765625
45,-0.009765625,-0.009765625,0,-0.068359375
46,-0.126953125,-0.0390625,0.087890625,-0.029296875
47,0.05859375,-0.048828125,0,-0.107421875
48,0,-0.029296875,-0.087890625,-0.078125
49,-0.1171875,-0.09765625,0,-0.01953125
50,0.0390625,-0.01953125,0,-0.09765625
51,-0.05859375,-0.078125,-0.009765625,-0.029296875
52,0.15625,-0.224609375,0.048828125,-0.029296875
53,0.0390625,0,-0.029296875,-0.078125
54,0.05859375,-0.048828125,-0.068359375,0.01953125
55,0.13671875,-0.068359375,0.068359375,0
56,0.01953125,-0.0390625,-0.01953125,-0.048828125
57,-0.185546875,-0.029296875,0.068359375,-0.068359375
58,0.234375,0.068359375,-0.009765625,-0.078125
59,0.029296875,0.087890625,-0.029296875,-0.029296875
60,-0.185546875,-0.009765625,0.01953125,-0.09765625
61,-0.009765625,0.078125,-0.048828125,-0.048828125
62,0.0390625,0.107421875,-0.009765625,0.009765625
63,0.009765625,0.01953125,0.0390625,-0.15625
64,-0.146484375,-0.1171875,-0.068359375,-0.05859375
65,0.05859375,0.1171875,-0.009765625,-0.048828125
66,0.3515625,0,-0.048828125,-0.009765625
67,0.15625,-0.166015625,-0.048828125,-0.078125
68,0.048828125,-0.205078125,0.029296875,-0.087890625
69,0.078125,-0.009765625,-0.009765625,-0.166015625
70,0.166015625,-0.13671875,-0.048828125,-0.05859375
71,0.068359375,-0.185546875,0.009765625,-0.087890625
72,-0.126953125,-0.068359375,-0.048828125,-0.234375
73,0.13671875,0.029296875,-0.05859375,-0.068359375
74,0.0390625,0.05859375,0.048828125,-0.166015625
75,-0.048828125,-0.09765625,-0.09765625,-0.13671875
76,0.01953125,0.0390625,-0.146484375,0
77,0,0.107421875,0.029296875,-0.009765625
78,0,-0.048828125,-0.029296875,0.009765625
79,0.009765625,-0.01953125,-0.3125,-0.068359375
80,0.009765625,0.078125,-0.068359375,-0.087890625
81,0.05859375,0,0.068359375,0.087890625
82,0.01953125,-0.048828125,0.09765625,-0.05859375
83,0.01953125,-0.0390625,-0.166015625,-0.341796875
84,0.1171875,-0.078125,0.009765625,-0.15625
85,0.029296875,-0.0390625,0.29296875,-0.107421875
86,0.029296875,-0.09765625,0.0390625,-0.341796875
87,0.009765625,-0.048828125,-0.009765625,-0.15625
88,0,0.01953125,0.234375,-0.029296875
89,0.0390625,-0.048828125,0.048828125,0.17578125
90,-0.01953125,-0.029296875,0,-0.13671875
